frame_x,predict
0,a1F66033
1,a1X86201
2,aaP61836
3,a8C82114
4,aaW21627
5,a8O81444
6,a1J65813
7,a4R39824
8,aaD57799
9,aaI88575
10,a1O31866
11,aaV85765
12,a8D24132
13,a8U88551
14,aaD07778
15,a1P33470
16,aaU51745
17,aaD36909
18,aaQ19991
19,aaV41782
20,a5C68458
21,a9T05991
22,a9O32462
23,a0F33066
24,aaT31016
25,aaN14062
26,aaS20842
27,aaG08649
28,a2K63898
29,a9H86270
30,a8Y43158
31,a5S56161
32,a1T11000
33,aaQ14034
34,a6O47386
35,a7G71335
36,a5Y68864
37,aaG92696
38,aaM58929
39,a5O47046
40,a6H30230
41,aaJ94054
42,aaZ18776
43,a9H03088
44,aaZ65904
45,a3L32882
46,a5S84709
47,a7U52248
48,aaO18193
49,a2X99061
50,aaV95490
51,aaB81189
52,a8B62822
53,a7K09149
54,aaA85815
55,a6J11761
56,a2Z31045
57,a2L23308
58,aaK54152
59,aaV12230
60,a4J67787
61,a3B52197
62,aaR82969
63,a3X51462
64,aaW74226
65,a6Q41498
66,aaD11671
67,a6M25292
68,a9I01134
69,aaW09545
70,a8C10454
71,a3U08547
72,aaZ93983
73,aaF42715
74,a9R91221
75,a6N33023
76,aaZ49113
77,a0I04361
78,aaA74620
79,a0U33713
80,a5V51185
81,a7X23356
82,aaU44894
83,aaP38642
84,a1F48448
85,aaX34204
86,a2H50399
87,aaI24952
88,a6J51725
89,aaP61513
90,aaL74357
91,aaQ24212
92,aaD77426
93,aaF83108
94,aaT15968
95,aaQ62730
96,a9X70347
97,a9K78447
98,aaV70169
99,aaG78815
100,aaN87168
