frame_x,predict
0,a0D56154
1,a2G41921
2,aaT97049
3,a6U66742
4,a1O63889
5,a2I51007
6,aaG27010
7,a3F58954
8,aaN18984
9,aaR20208
10,aaA63202
11,a1K39791
12,aaV68742
13,a1L29187
14,aaN63481
15,a2G90362
16,a1Z99110
17,aaB00704
18,a6N06728
19,aaZ18653
20,a4I02795
21,a1K44540
22,aaP94491
23,aaJ22096
24,a7X18077
25,a8X15415
26,aaP71477
27,aaQ36600
28,aaS19635
29,a3U23578
30,a4R16422
31,a5H20416
32,a7R74673
33,aaP76613
34,aaW17833
35,aaW46806
36,aaA55448
37,a2M31045
38,a3L88493
39,a9L39739
40,a2W97440
41,aaB00004
42,a8B10212
43,aaW84258
44,aaK82605
45,aaV43333
46,a5P96342
47,a0M90497
48,a5H90060
49,aaS93892
50,aaV29811
51,aaK00023
52,a2N27133
53,a9H26223
54,aaV22238
55,a4L92509
56,aaP07449
57,a4W37202
58,a2D45848
59,aaM91975
60,aaW30440
61,a8C41625
62,a9O04979
63,aaW19146
64,aaO57931
65,a0H48151
66,a0V44519
67,a5K57447
68,aaA94496
69,a5H70557
70,aaS60964
71,a8D67503
72,aaF94225
73,aaI87305
74,a8G81347
75,a0S91708
76,a3G95058
77,aaN43798
78,aaQ77045
79,a9H32058
80,a7G65980
81,aaS72751
82,aaF19592
83,a1B89896
84,aaW34870
85,aaC95778
86,aaR80484
87,a7H89541
88,aaD71273
89,aaK52459
90,a1A44267
91,a9W37704
92,aaG57828
93,a7Q11887
94,aaM19588
95,aaL12147
96,aaJ37553
97,aaW06331
98,a6G20688
99,aaO13085
100,aaT27408
