frame_x,predict
0,aaU77089
1,a2I01160
2,a5D26364
3,a4M53638
4,a8U11076
5,aaW83038
6,aaW19741
7,a6S46660
8,a1L16467
9,a7U38075
10,aaN23825
11,a0T62805
12,a7W32831
13,a2I43097
14,a1B09627
15,a0N04862
16,a7S28432
17,aaX36951
18,a6I43322
19,a7T44919
20,a5Q27156
21,a2M72513
22,a1B67230
23,a7F94425
24,a8F27031
25,aaI34128
26,a2I45676
27,a0K76378
28,aaY25658
29,a6F02748
30,a5J71331
31,a6M45545
32,aaD99425
33,aaB26854
34,aaQ48409
35,aaG58368
36,aaV00793
37,a5B80617
38,a2K46362
39,a0C92798
40,a0O60304
41,a1M91739
42,a8O15409
43,aaH14167
44,aaA74604
45,aaW09097
46,a7S73092
47,a0X08825
48,a9W18510
49,aaU93187
50,a3V60043
51,a7S70323
52,aaL18870
53,a4J44959
54,aaK45420
55,a6G25748
56,a8J06450
57,aaQ52618
58,aaA60658
59,aaO77425
60,a9X11596
61,aaV18980
62,aaY26873
63,a7T23381
64,a1V38186
65,a9M83403
66,a7U98686
67,a9F32773
68,a1C63990
69,aaO45856
70,a9T74007
71,aaU41810
72,a5N39777
73,a2B71682
74,aaU72398
75,a1F48790
76,aaG62158
77,a3J29035
78,aaA15883
79,aaH55267
80,aaR04070
81,a6J99021
82,aaZ22986
83,a1N56380
84,a9S55649
85,aaZ50056
86,aaP14737
87,a2X66059
88,aaO35513
89,a2O28296
90,aaS41355
91,a1A45956
92,aaK32634
93,aaN75545
94,aaW62524
95,aaU74822
96,aaF47362
97,aaH96303
98,aaN92595
99,aaV21381
100,a2F80436
