frame_x,predict
0,a9D77321
1,aaX41107
2,a8X26706
3,aaO73639
4,a2X64728
5,a3B46382
6,aaH73035
7,a6B80650
8,aaQ24319
9,a1B29163
10,aaC34526
11,a2D37261
12,aaZ27053
13,aaY26503
14,aaP39484
15,a0K16344
16,aaG04029
17,a6D34954
18,aaS18716
19,aaC52463
20,a8S31183
21,aaR52129
22,a9R08079
23,a9D20445
24,a2K56142
25,aaW02201
26,a5U58544
27,aaI49693
28,aaJ32523
29,aaG84766
30,aaI58317
31,a6L44591
32,a6P03559
33,a6A74939
34,a0K07969
35,a6A28113
36,aaB33731
37,aaA01863
38,a8W32407
39,aaX68918
40,aaH54140
41,aaI72696
42,aaX17740
43,aaT00785
44,aaK36612
45,aaZ05698
46,a1U93147
47,a4X79685
48,aaZ52773
49,aaB54456
50,a2O08762
51,a0H45950
52,aaG09481
53,a5J81644
54,a3U78686
55,aaH05391
56,a1Q48654
57,aaX93443
58,a0D28681
59,aaZ90496
60,aaR04326
61,aaH20439
62,aaW66815
63,aaV86120
64,a9G85875
65,aaS85848
66,aaA06601
67,a4V17770
68,aaI20153
69,aaL40071
70,aaM16983
71,aaZ33512
72,aaI79156
73,aaU11916
74,aaD76671
75,aaP01127
76,aaG48174
77,aaL11951
78,a0R08822
79,a8U95834
80,a9B89261
81,aaZ53017
82,aaB11432
83,a9L82114
84,aaB15387
85,a8O59455
86,a8P56587
87,a2K98233
88,aaY06343
89,aaM55815
90,aaM88716
91,aaL24709
92,a1H17713
93,aaT37119
94,aaS82714
95,aaT02774
96,a7B17487
97,a6T11959
98,aaP02965
99,aaU37687
100,a6B76155
