frame_x,predict
0,a3N63582
1,aaR36666
2,aaM89869
3,aaT11258
4,a4Z46713
5,aaL66545
6,a7G67210
7,aaN36698
8,aaH79306
9,a7L14001
10,aaS35728
11,aaV88579
12,aaY97285
13,aaR57367
14,aaX73762
15,a0P50454
16,aaV98531
17,aaO30632
18,a4F24005
19,aaA06630
20,aaW28456
21,a8H92881
22,a8C46286
23,a9P06287
24,a9C65940
25,a0F16951
26,a0I01312
27,a6N99064
28,aaH66330
29,a0M55785
30,a5R74925
31,a6M01197
32,aaM55752
33,a5Z19016
34,aaC53721
35,aaA52293
36,a4X92208
37,aaD23832
38,a8L77188
39,a3N66117
40,aaB36879
41,a2J24194
42,a9X92856
43,a0Q64523
44,aaY55777
45,a3Y02895
46,aaB63766
47,a6X19998
48,aaM81547
49,a1G29870
50,a9S25261
51,a6C38069
52,aaT09997
53,aaD24588
54,a7W97666
55,aaK78613
56,a1P77208
57,a2B33239
58,a9I35598
59,a1T95460
60,aaC97003
61,a2S87908
62,aaL26487
63,a6S06180
64,aaU36520
65,aaZ86563
66,aaH08116
67,a9A29513
68,a6F23966
69,a5Q54140
70,aaN60137
71,a4B40700
72,aaY11689
73,aaO35935
74,a4P74646
75,a5Z47220
76,a6Q83403
77,aaT28908
78,a4M88495
79,aaT99878
80,a9K82203
81,a6O29702
82,a2L99615
83,a6L92227
84,aaG13879
85,a7Q12105
86,a5Z06483
87,a7I54320
88,a5L29323
89,aaU42249
90,aaC02433
91,a7V24377
92,aaC62936
93,a6X08404
94,a6R79763
95,aaL88214
96,aaQ44865
97,a6N77026
98,a5H57778
99,a7K09753
100,aaS61547
