frame_x,predict
0,aaX94193
1,aaT32181
2,aaQ57577
3,a6U62069
4,a8I36521
5,a1J26762
6,aaD05130
7,a7Z80688
8,a8P93355
9,a2W67046
10,a5I36325
11,aaY93607
12,aaD87461
13,aaI93324
14,a5V71069
15,a3X22397
16,a9J42357
17,aaF89513
18,aaV06047
19,a3A46190
20,a9J01483
21,aaH13195
22,aaL84949
23,a9N51754
24,a3P06501
25,a4Y14780
26,aaA45589
27,aaZ73956
28,a3S32419
29,aaH44561
30,aaX24465
31,a5G49165
32,a0Q12936
33,aaN28778
34,aaV47144
35,aaI15574
36,a7R41026
37,a9D23483
38,a1B79514
39,a1O27225
40,aaV56427
41,aaR53006
42,aaK85822
43,a7W13055
44,a5A73737
45,a8O21394
46,aaC66680
47,a7T20518
48,aaS26814
49,a0B09604
50,a3C56668
51,a8Y84797
52,a1W99826
53,aaU32807
54,aaP40934
55,aaZ52515
56,a8I97035
57,aaM01972
58,a8L35982
59,aaM32846
60,aaF95518
61,a7Q85557
62,a4S20780
63,aaP52943
64,a0D21334
65,a4K42323
66,a7X33013
67,aaJ10106
68,a0X54587
69,a9P31620
70,a9G81993
71,aaB37237
72,a3W38566
73,aaD72894
74,aaA73012
75,a6V44380
76,a7U70337
77,a3C93876
78,a1C27622
79,aaN44829
80,aaL56555
81,a2C74743
82,a5M51091
83,a6L05345
84,aaV29179
85,aaH79253
86,aaX70087
87,aaC09200
88,a2S41251
89,aaF92378
90,aaB07835
91,aaQ26064
92,aaD10621
93,a2A48372
94,a5V35445
95,a1A23609
96,aaO21696
97,a3X11504
98,a1N16249
99,a8O19596
100,a2A53502
