frame_x,predict
0,aaQ00169
1,aaZ37896
2,a8I19708
3,a3C50202
4,aaH65205
5,aaN00431
6,aaC86637
7,aaN44406
8,aaZ94536
9,a6J84094
10,a1K05773
11,a4R98696
12,aaD00872
13,a0K84328
14,aaD89135
15,a4B82270
16,aaM68266
17,a5H90651
18,aaY70176
19,a6R39934
20,a6P15499
21,aaP76984
22,aaI46543
23,aaJ84576
24,a0N33130
25,a5L21684
26,a9T59891
27,a3B32711
28,aaH45295
29,a5K93713
30,a8B43760
31,a4N78662
32,aaB14301
33,a0M06227
34,aaR59538
35,aaK13769
36,a0Q62233
37,aaC55282
38,a0Q65905
39,aaO21524
40,a9K33905
41,a0X42771
42,aaU89604
43,aaL51845
44,aaL86170
45,a7B90582
46,a8O12810
47,a0S26318
48,aaN68012
49,a7L64823
50,a5M65335
51,a8V71414
52,aaC22685
53,aaQ41245
54,aaY72032
55,a6J27389
56,aaX04847
57,a8Q52116
58,a1O96113
59,a1H79118
60,aaS21217
61,a2M77154
62,a0G43343
63,a2Q41443
64,a9F67318
65,a8R44281
66,aaZ27005
67,aaF70031
68,aaC90144
69,a4N32813
70,aaC28519
71,aaQ05979
72,aaK85584
73,a9L82893
74,aaC02288
75,aaW78380
76,aaR71044
77,a4W04752
78,aaP71984
79,aaW08482
80,aaB86208
81,a2U40921
82,aaG86904
83,a9S53985
84,a7Y38691
85,aaH58955
86,a9X60933
87,aaS63709
88,a4B64515
89,a5Z56022
90,a7X91068
91,a6S45524
92,aaP76611
93,a0V14699
94,a2S71594
95,a2I67604
96,aaG01064
97,a9M15883
98,a2Q49884
99,a4O15777
100,aaO05203
