fram_x,predict
0,2
1,4
2,3
3,3
4,3
5,3
6,4
7,5
8,3
9,4
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,1
19,1
20,3
21,3
22,4
23,1
24,2
25,1
26,3
27,0
28,0
29,1
30,1
31,1
32,1
33,2
34,2
35,0
36,2
37,1
38,3
39,1
40,2
41,1
42,3
43,3
44,0
45,1
46,2
47,0
48,0
49,1
50,3
51,2
52,3
53,1
54,1
55,3
56,3
57,3
58,3
59,2
60,3
61,3
62,3
63,3
64,3
65,3
66,1
67,1
68,2
69,2
70,2
71,1
72,2
73,1
74,2
75,0
76,2
77,1
78,1
79,2
80,2
81,2
82,3
83,3
84,3
85,1
86,3
87,2
88,3
89,2
90,4
91,3
92,4
93,4
94,4
95,1
96,5
97,1
98,2
99,1
100,0
101,2
102,4
103,3
104,4
105,3
106,4
107,3
108,2
109,2
110,1
111,2
112,4
113,5
114,4
115,1
116,2
117,3
118,3
119,4
120,3
121,3
122,3
123,3
124,3
125,3
126,4
127,1
128,1
129,2
130,2
131,3
132,3
133,1
134,2
135,2
136,3
137,2
138,0
139,3
140,2
141,2
