fram_x,predict
0,8
1,9
2,7
3,6
4,7
5,8
6,8
7,6
8,11
9,8
10,7
11,5
12,4
13,5
14,4
15,7
16,7
17,7
18,6
19,11
20,4
21,8
22,5
23,6
24,8
25,5
26,5
27,7
28,7
29,6
30,5
31,7
32,5
33,7
34,8
35,9
36,10
37,8
38,7
39,7
40,7
41,7
42,5
43,6
44,6
45,7
46,6
47,5
48,8
49,7
50,7
51,8
52,7
53,6
54,6
55,4
56,5
57,4
58,7
59,8
60,8
61,6
62,6
63,5
64,7
65,6
66,5
67,6
68,5
69,7
70,6
71,7
72,6
73,5
74,7
75,5
76,6
77,9
78,5
79,5
80,5
81,5
82,6
83,3
84,5
85,6
86,7
87,8
88,7
89,5
90,5
91,6
92,5
93,5
94,6
95,7
96,7
97,7
98,8
99,7
100,6
101,5
102,7
103,5
104,7
105,7
106,5
107,9
108,7
109,7
110,7
111,7
112,7
113,5
114,7
115,7
116,7
117,7
118,9
119,9
120,7
121,5
122,5
123,5
124,3
125,4
126,5
127,5
128,5
129,5
130,7
131,6
132,6
133,3
134,4
135,5
136,6
137,7
138,7
139,7
140,8
141,6
142,6
143,5
144,6
145,7
146,5
147,6
148,3
149,5
150,7
151,7
152,6
153,4
154,3
155,2
156,6
157,8
158,9
159,3
160,7
161,6
