fram_x,predict
0,13
1,16
2,19
3,16
4,15
5,21
6,11
7,15
8,15
9,15
10,17
11,11
12,8
13,14
14,12
15,16
16,17
17,15
18,15
19,13
20,17
21,13
22,19
23,17
24,13
25,15
26,16
27,17
28,16
29,20
30,19
31,14
32,13
33,13
34,11
35,14
36,13
37,16
38,9
39,13
40,7
41,10
42,15
43,13
44,14
45,15
46,13
47,12
48,11
49,7
50,13
51,16
52,12
53,11
54,12
55,11
56,13
57,15
58,11
59,6
60,9
61,7
62,11
63,11
64,11
65,9
66,11
67,11
68,8
69,8
70,9
71,7
72,9
73,10
74,9
75,9
76,9
77,7
78,10
79,7
80,7
81,8
82,9
83,7
84,7
85,9
86,9
87,10
88,10
89,11
90,9
91,9
92,9
93,5
94,5
95,6
96,7
97,7
98,8
99,9
100,7
101,7
102,6
103,5
104,6
105,9
106,9
107,7
108,9
109,9
110,9
111,7
112,7
113,6
114,5
115,7
116,7
117,9
118,9
119,10
120,12
121,8
122,11
123,11
124,11
125,11
126,11
127,11
128,7
129,7
130,6
131,7
132,9
133,10
134,9
135,8
136,7
137,8
138,10
139,7
140,10
141,7
142,9
143,9
144,7
145,8
146,12
147,9
148,9
149,9
150,10
151,11
152,11
153,10
154,11
155,8
156,11
157,7
158,8
159,9
160,9
161,11
162,10
163,7
164,9
165,11
166,9
167,7
168,7
169,9
170,10
171,11
