fram_x,predict
0,7
1,6
2,5
3,5
4,6
5,6
6,4
7,3
8,3
9,3
10,4
11,5
12,6
13,5
14,6
15,5
16,6
17,4
18,4
19,5
20,6
21,6
22,5
23,8
24,9
25,6
26,5
27,5
28,7
29,6
30,3
31,6
32,5
33,6
34,6
35,5
36,3
37,6
38,5
39,5
40,7
41,8
42,5
43,5
44,5
45,9
46,8
47,4
48,4
49,5
50,5
51,6
52,7
53,6
54,7
55,7
56,6
57,4
58,7
59,7
60,7
61,4
62,5
63,5
64,6
65,6
66,6
67,7
68,5
69,7
70,6
71,7
72,7
73,5
74,5
75,5
76,7
77,7
78,8
79,7
80,7
81,8
82,7
83,5
84,4
85,7
86,7
87,7
88,8
89,8
90,6
91,7
92,9
93,7
94,7
95,5
96,3
97,5
98,7
99,7
100,6
101,7
102,5
103,7
104,6
105,5
106,5
107,5
108,3
109,5
110,4
111,3
112,3
113,7
114,4
115,5
116,5
117,5
118,6
119,5
120,5
121,5
122,5
123,5
124,7
125,5
126,6
127,6
128,4
129,3
130,3
131,6
132,5
133,5
134,6
135,7
136,3
137,7
138,5
139,8
140,8
141,4
142,5
143,5
144,4
145,3
146,4
147,4
148,3
149,3
150,7
151,7
152,5
153,5
154,3
155,6
156,5
157,3
158,2
159,3
160,5
161,5
162,5
163,4
164,4
165,5
166,5
167,5
168,4
169,4
170,3
171,6
172,5
173,6
