fram_x,predict
0,5
1,4
2,6
3,4
4,7
5,7
6,5
7,7
8,8
9,12
10,10
11,9
12,11
13,11
14,7
15,11
16,8
17,6
18,9
19,9
20,7
21,5
22,2
23,5
24,6
25,3
26,5
27,3
28,3
29,9
30,5
31,1
32,3
33,5
34,2
35,3
36,3
37,5
38,5
39,5
40,8
41,9
42,11
43,12
44,11
45,3
46,3
47,2
48,3
49,2
50,2
51,1
52,2
53,2
54,3
55,3
56,3
57,5
58,5
59,3
60,5
61,5
62,3
63,4
64,5
65,0
66,0
67,0
68,0
69,0
70,5
71,5
72,4
73,5
74,5
75,3
76,5
77,4
78,3
79,1
80,3
81,3
82,3
83,3
84,4
85,5
86,0
87,2
88,5
89,3
90,7
91,5
92,3
93,3
94,4
95,2
96,6
97,4
98,5
99,3
100,5
101,7
102,2
103,0
104,2
105,3
106,1
107,1
108,7
109,5
110,5
111,7
112,3
113,3
114,6
115,7
