fram_x,predict
0,6
1,7
2,7
3,7
4,7
5,7
6,7
7,6
8,5
9,6
10,5
11,7
12,5
13,6
14,6
15,7
16,5
17,7
18,9
19,8
20,9
21,9
22,7
23,8
24,7
25,8
26,8
27,11
28,8
29,7
30,8
31,7
32,7
33,7
34,8
35,7
36,7
37,5
38,7
39,7
40,5
41,8
42,8
43,9
44,7
45,7
46,7
47,9
48,8
49,8
50,8
51,7
52,7
53,5
54,5
55,5
56,6
57,5
58,5
59,6
60,5
61,5
62,5
63,4
64,5
65,5
66,5
67,5
68,5
69,4
70,4
71,4
72,3
73,3
74,3
75,4
76,3
77,3
78,3
79,3
80,3
81,5
82,5
83,3
84,3
85,2
86,4
87,3
88,4
89,3
90,4
91,3
92,3
93,5
94,5
95,3
96,5
97,5
98,4
99,5
100,5
101,7
102,5
103,5
104,7
105,5
106,7
107,5
108,6
109,7
110,8
111,8
112,9
113,8
114,8
115,8
116,9
117,9
118,7
119,7
120,5
121,6
122,6
123,7
124,5
125,6
126,8
127,7
128,6
129,8
130,8
131,7
132,6
133,7
134,6
135,7
136,6
137,7
138,4
139,4
140,5
141,7
142,5
143,6
144,5
145,9
146,9
147,9
148,8
149,7
150,8
151,7
152,9
153,8
154,8
155,8
156,7
157,7
158,7
159,8
160,7
161,6
162,7
163,7
164,7
165,6
166,7
167,7
168,7
169,8
170,6
171,6
172,4
173,7
