fram_x,predict
0,4
1,4
2,2
3,2
4,3
5,3
6,0
7,0
8,1
9,1
10,3
11,2
12,1
13,1
14,4
15,7
16,0
17,1
18,2
19,1
20,3
21,0
22,1
23,5
24,5
25,7
26,7
27,3
28,6
29,5
30,3
31,2
32,1
33,3
34,1
35,0
36,0
37,0
38,1
39,4
40,3
41,3
42,2
43,3
44,2
45,1
46,1
47,1
48,0
49,0
50,0
51,2
52,0
53,1
54,0
55,2
56,0
57,0
58,1
59,5
60,3
61,0
62,0
63,3
64,3
65,3
66,3
67,3
68,2
69,0
70,0
71,3
72,3
73,3
74,5
75,3
76,5
77,3
78,3
79,2
80,3
81,3
82,4
83,5
84,4
85,2
86,7
87,7
88,7
89,4
90,2
91,4
92,1
93,0
94,1
95,3
96,3
97,2
98,2
99,3
100,4
101,6
102,7
103,3
104,5
105,5
106,5
107,3
108,7
109,4
110,3
111,3
112,3
113,3
114,3
115,4
116,3
117,4
118,2
119,0
120,1
121,4
122,5
123,4
124,4
125,1
126,1
127,3
128,3
129,5
130,5
131,4
132,4
133,3
134,6
135,5
136,4
137,1
138,1
139,1
140,0
141,0
142,4
143,2
144,3
145,1
146,2
147,2
148,2
149,2
150,2
151,3
152,3
153,3
154,3
155,4
156,3
157,0
158,2
159,3
160,3
161,3
162,3
163,3
164,5
165,6
166,5
167,5
