fram_x,predict
0,5
1,2
2,3
3,3
4,5
5,4
6,4
7,4
8,4
9,4
10,4
11,3
12,5
13,5
14,5
15,4
16,1
17,4
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,2
67,2
68,2
69,1
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,3
79,3
80,3
81,3
82,3
83,2
84,2
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
