fram_x,predict
0,11
1,13
2,10
3,8
4,10
5,11
6,11
7,8
8,15
9,11
10,10
11,6
12,5
13,6
14,5
15,10
16,9
17,9
18,8
19,16
20,5
21,11
22,7
23,8
24,11
25,6
26,6
27,10
28,9
29,8
30,6
31,9
32,6
33,10
34,11
35,12
36,14
37,11
38,9
39,9
40,10
41,9
42,6
43,8
44,8
45,10
46,8
47,7
48,11
49,9
50,10
51,11
52,9
53,8
54,8
55,5
56,7
57,5
58,9
59,11
60,11
61,8
62,8
63,6
64,9
65,8
66,7
67,8
68,6
69,9
70,8
71,9
72,8
73,6
74,10
75,6
76,8
77,12
78,7
79,7
80,6
81,6
82,8
83,4
84,7
85,8
86,10
87,11
88,10
89,6
90,7
91,8
92,7
93,7
94,8
95,9
96,10
97,10
98,11
99,10
100,8
101,7
102,9
103,7
104,9
105,9
106,6
107,12
108,10
109,9
110,10
111,9
112,9
113,6
114,10
115,9
116,10
117,10
118,13
119,12
120,9
121,7
122,6
123,6
124,4
125,5
126,7
127,7
128,7
129,7
130,9
131,8
132,8
133,4
134,5
135,6
136,8
137,9
138,10
139,9
140,11
141,8
142,8
143,7
144,8
145,9
146,7
147,8
148,4
149,6
150,9
151,9
152,8
153,5
154,4
155,2
156,8
157,11
158,12
159,3
160,10
161,8
