fram_x,predict
0,5
1,5
2,2
3,2
4,3
5,4
6,0
7,0
8,1
9,1
10,3
11,2
12,1
13,1
14,5
15,10
16,0
17,1
18,2
19,1
20,4
21,0
22,1
23,6
24,7
25,9
26,9
27,4
28,8
29,6
30,4
31,2
32,1
33,3
34,1
35,0
36,0
37,0
38,1
39,5
40,4
41,3
42,2
43,3
44,2
45,1
46,1
47,1
48,0
49,0
50,0
51,2
52,0
53,1
54,0
55,2
56,0
57,0
58,1
59,6
60,4
61,0
62,0
63,4
64,4
65,4
66,3
67,4
68,2
69,0
70,0
71,3
72,3
73,4
74,7
75,4
76,6
77,4
78,4
79,2
80,3
81,3
82,5
83,7
84,5
85,2
86,9
87,10
88,9
89,5
90,2
91,5
92,1
93,0
94,1
95,3
96,3
97,2
98,2
99,3
100,5
101,8
102,10
103,3
104,6
105,6
106,7
107,4
108,9
109,5
110,3
111,4
112,4
113,4
114,4
115,5
116,4
117,5
118,2
119,0
120,1
121,5
122,7
123,5
124,5
125,1
126,1
127,3
128,4
129,7
130,7
131,5
132,5
133,3
134,8
135,6
136,5
137,1
138,1
139,1
140,0
141,0
142,5
143,2
144,4
145,1
146,2
147,2
148,2
149,2
150,2
151,4
152,4
153,4
154,3
155,5
156,3
157,0
158,2
159,3
160,4
161,3
162,4
163,3
164,6
165,8
166,6
167,6
