fram_x,predict
0,2
1,5
2,4
3,4
4,4
5,4
6,5
7,7
8,3
9,5
10,3
11,4
12,4
13,4
14,4
15,3
16,4
17,4
18,1
19,1
20,4
21,3
22,5
23,1
24,2
25,1
26,3
27,0
28,0
29,1
30,1
31,1
32,1
33,2
34,2
35,0
36,2
37,1
38,3
39,1
40,2
41,1
42,3
43,3
44,0
45,1
46,2
47,0
48,0
49,1
50,3
51,2
52,3
53,1
54,1
55,3
56,3
57,4
58,3
59,2
60,4
61,4
62,3
63,4
64,3
65,3
66,1
67,1
68,2
69,2
70,2
71,1
72,2
73,1
74,2
75,0
76,2
77,1
78,1
79,2
80,2
81,2
82,4
83,3
84,4
85,1
86,4
87,2
88,4
89,2
90,5
91,4
92,5
93,5
94,5
95,1
96,6
97,1
98,2
99,1
100,0
101,2
102,5
103,4
104,5
105,4
106,5
107,4
108,2
109,2
110,1
111,2
112,5
113,6
114,5
115,1
116,2
117,3
118,4
119,5
120,3
121,4
122,3
123,3
124,4
125,3
126,5
127,1
128,1
129,2
130,2
131,3
132,4
133,1
134,2
135,2
136,3
137,2
138,0
139,3
140,2
141,2
