fram_x,predict
0,7
1,5
2,8
3,5
4,9
5,9
6,6
7,9
8,11
9,17
10,14
11,13
12,16
13,15
14,10
15,15
16,11
17,8
18,12
19,12
20,10
21,7
22,2
23,6
24,8
25,3
26,7
27,3
28,3
29,12
30,6
31,1
32,3
33,6
34,2
35,3
36,3
37,7
38,7
39,7
40,11
41,12
42,16
43,17
44,16
45,3
46,3
47,2
48,3
49,2
50,2
51,1
52,2
53,2
54,3
55,4
56,3
57,7
58,6
59,4
60,6
61,6
62,4
63,5
64,6
65,0
66,0
67,0
68,0
69,0
70,7
71,7
72,5
73,6
74,7
75,4
76,6
77,5
78,4
79,1
80,4
81,4
82,4
83,4
84,5
85,7
86,0
87,2
88,7
89,3
90,9
91,7
92,3
93,4
94,5
95,2
96,8
97,5
98,6
99,4
100,6
101,9
102,2
103,0
104,2
105,4
106,1
107,1
108,9
109,7
110,7
111,9
112,3
113,3
114,8
115,9
