fram_x,predict
0,3
1,2
2,3
3,8
4,4
5,5
6,6
7,9
8,5
9,7
10,7
11,7
12,6
13,6
14,8
15,4
16,7
17,3
18,3
19,4
20,3
21,3
22,3
23,5
24,7
25,5
26,7
27,5
28,4
29,6
30,3
31,4
32,1
33,4
34,4
35,3
36,1
37,0
38,5
39,4
40,2
41,5
42,5
43,2
44,5
45,6
46,7
47,8
48,6
49,3
50,6
51,8
52,9
53,6
54,6
55,7
56,8
57,9
58,10
59,7
60,7
61,6
62,4
63,7
64,1
65,5
66,9
67,5
68,5
69,8
70,3
71,7
72,7
73,6
74,5
75,9
76,5
77,8
78,9
79,8
80,7
81,6
82,8
83,6
84,3
85,6
86,4
87,4
88,6
89,4
90,4
91,6
92,6
93,5
94,3
95,5
96,4
97,3
98,6
99,5
100,7
101,4
102,4
103,2
104,3
105,3
106,4
107,4
108,7
109,10
110,9
111,8
112,4
113,6
114,3
115,4
116,5
117,6
118,6
119,6
120,4
121,4
122,4
123,2
124,3
125,3
126,5
127,3
128,6
129,7
130,5
131,8
132,4
133,5
134,6
135,4
136,6
137,8
138,5
139,6
140,5
141,5
142,4
143,5
144,7
145,6
146,6
147,3
148,1
149,1
150,0
151,0
152,1
153,1
154,2
155,5
156,0
