fram_x,predict
0,8
1,10
2,9
3,9
4,10
5,10
6,10
7,8
8,6
9,8
10,7
11,10
12,7
13,8
14,8
15,10
16,6
17,9
18,12
19,11
20,12
21,13
22,10
23,11
24,10
25,11
26,11
27,15
28,11
29,10
30,11
31,10
32,9
33,10
34,11
35,9
36,9
37,7
38,10
39,9
40,7
41,11
42,11
43,12
44,10
45,10
46,10
47,12
48,11
49,11
50,11
51,10
52,9
53,6
54,7
55,7
56,8
57,7
58,7
59,8
60,6
61,6
62,6
63,5
64,6
65,6
66,6
67,6
68,6
69,5
70,5
71,5
72,3
73,4
74,4
75,5
76,4
77,4
78,3
79,3
80,3
81,6
82,6
83,4
84,4
85,2
86,5
87,4
88,5
89,4
90,5
91,3
92,3
93,6
94,7
95,4
96,6
97,7
98,5
99,6
100,7
101,9
102,7
103,7
104,9
105,7
106,9
107,6
108,8
109,10
110,11
111,11
112,13
113,11
114,11
115,11
116,12
117,13
118,10
119,10
120,7
121,8
122,8
123,10
124,7
125,8
126,11
127,9
128,8
129,11
130,11
131,10
132,8
133,9
134,8
135,10
136,8
137,10
138,5
139,5
140,6
141,9
142,6
143,8
144,7
145,12
146,13
147,12
148,11
149,9
150,11
151,10
152,13
153,11
154,11
155,11
156,10
157,10
158,10
159,11
160,9
161,8
162,9
163,10
164,9
165,8
166,10
167,9
168,10
169,11
170,8
171,8
172,5
173,9
