frame_x,predict
0,63J24909
1,35G70281
2,10V49244
3,54F69308
4,80I74159
5,57O36994
6,07X29071
7,07B13078
8,97K36734
9,81W29916
10,79U62067
11,52M76235
12,64H82811
13,73P18611
14,55R85721
15,52S37106
16,95I22080
17,22H06152
18,02T23587
19,37I61554
20,70P04100
21,96N24626
22,63X24117
23,17A07345
24,34U46024
25,00V10751
26,38B81485
27,74I62000
28,85Z18504
29,06N29608
30,41D09788
31,20U32394
32,86K17050
33,50R53005
34,49K08343
35,74D62083
36,46N45753
37,16Z84829
38,16P15362
39,90V82887
40,58Z99604
41,37S05876
42,75G56704
43,35A31966
44,12I54686
45,11U80834
46,69I38381
47,97D44011
48,08X76509
49,42F00977
50,46B55819
51,70K20513
52,48F20806
53,31O12866
54,15R32878
55,32B37033
56,16J81404
57,33D11056
58,52C36758
59,77M51046
60,89S58430
61,67C62913
62,36X86937
63,42O93701
64,28D68420
65,80P77422
66,25I77623
67,63L77967
68,22W59659
69,31S39192
70,53O90750
71,67I56838
72,12X64923
73,38O26594
74,10T56414
75,38C90939
76,63W88833
77,81Z28036
78,98K71285
79,40N12427
80,00F13735
81,51W07923
82,96D61453
83,82C12128
84,49K76017
85,73X24510
86,75L32480
87,01U95746
88,71F78259
89,75P40775
90,57X68311
91,73F03728
92,64G41278
93,77W02137
94,54J79138
95,98C84099
96,96R86204
97,08P55026
98,77F19452
99,98K61922
100,65U11401
