frame_x,predict
0,69D77321
1,24X41107
2,98X26706
3,82O73639
4,12X64728
5,33B46382
6,41H73035
7,96B80650
8,09Q24319
9,01B29163
10,78C34526
11,52D37261
12,88Z27053
13,80Y26503
14,79P39484
15,90K16344
16,06G04029
17,96D34954
18,91S18716
19,08C52463
20,88S31183
21,63R52129
22,49R08079
23,39D20445
24,12K56142
25,04W02201
26,55U58544
27,34I49693
28,72J32523
29,09G84766
30,11I58317
31,46L44591
32,86P03559
33,16A74939
34,00K07969
35,46A28113
36,70B33731
37,10A01863
38,98W32407
39,25X68918
40,37H54140
41,38I72696
42,63X17740
43,46T00785
44,52K36612
45,83Z05698
46,31U93147
47,84X79685
48,71Z52773
49,16B54456
50,82O08762
51,30H45950
52,50G09481
53,85J81644
54,73U78686
55,75H05391
56,21Q48654
57,24X93443
58,50D28681
59,49Z90496
60,00R04326
61,45H20439
62,61W66815
63,57V86120
64,39G85875
65,61S85848
66,26A06601
67,04V17770
68,00I20153
69,97L40071
70,72M16983
71,56Z33512
72,58I79156
73,48U11916
74,49D76671
75,71P01127
76,90G48174
77,60L11951
78,00R08822
79,48U95834
80,29B89261
81,26Z53017
82,72B11432
83,89L82114
84,62B15387
85,08O59455
86,78P56587
87,02K98233
88,03Y06343
89,03M55815
90,64M88716
91,92L24709
92,81H17713
93,19T37119
94,12S82714
95,69T02774
96,17B17487
97,26T11959
98,56P02965
99,29U37687
100,56B76155
