frame_x,predict
0,25F12391
1,92V46846
2,09F89433
3,93B49487
4,71D91442
5,29A37518
6,70D76059
7,90V10179
8,03B19868
9,19O71265
10,48N61380
11,87O59788
12,08T01965
13,90P21242
14,34Z78560
15,63L50821
16,08X70433
17,72B03633
18,25U85619
19,96S30707
20,30Q99896
21,60K01818
22,11V76403
23,42A67646
24,14Y17606
25,80R72482
26,06L95260
27,16X99085
28,51M48638
29,22Q65726
30,76Q67129
31,75A73717
32,63I92343
33,48B05051
34,11X22076
35,75O90333
36,47N81039
37,02S89436
38,38H66774
39,79F31912
40,70U44252
41,97R53809
42,71Y00185
43,41Y56165
44,05P17430
45,40I32074
46,78W50488
47,02U27619
48,17D44313
49,37F79336
50,41Q99740
51,37T27494
52,30K43759
53,34Y53508
54,96I23017
55,39G18860
56,40S16120
57,43K73844
58,38Z68612
59,41M74273
60,76N72525
61,91W88488
62,68F60951
63,39D61470
64,12T30673
65,70T23654
66,50F49801
67,73B02180
68,72X18986
69,86Y88569
70,30B13341
71,86G44469
72,67A15622
73,46H33402
74,65B11931
75,63C11872
76,76V60894
77,57Y11449
78,83Q84956
79,31D41748
80,25S13349
81,73X07513
82,83J14993
83,37D94882
84,08Y92136
85,08Y52939
86,33B88530
87,63T88758
88,78V34722
89,99D92430
90,33L51181
91,52M17436
92,02H59994
93,29L94035
94,16B36790
95,87O54163
96,18Y72095
97,23T67313
98,57T52010
99,44A94295
100,04F85449
