frame_x,predict
0,97U77089
1,42I01160
2,65D26364
3,24M53638
4,08U11076
5,71W83038
6,86W19741
7,86S46660
8,01L16467
9,57U38075
10,77N23825
11,40T62805
12,47W32831
13,62I43097
14,31B09627
15,10N04862
16,87S28432
17,70X36951
18,26I43322
19,47T44919
20,65Q27156
21,22M72513
22,41B67230
23,47F94425
24,28F27031
25,35I34128
26,32I45676
27,50K76378
28,11Y25658
29,56F02748
30,75J71331
31,56M45545
32,54D99425
33,94B26854
34,95Q48409
35,96G58368
36,14V00793
37,35B80617
38,42K46362
39,10C92798
40,70O60304
41,31M91739
42,68O15409
43,96H14167
44,95A74604
45,02W09097
46,87S73092
47,70X08825
48,29W18510
49,11U93187
50,83V60043
51,57S70323
52,04L18870
53,34J44959
54,98K45420
55,26G25748
56,88J06450
57,91Q52618
58,12A60658
59,36O77425
60,39X11596
61,38V18980
62,74Y26873
63,37T23381
64,31V38186
65,19M83403
66,27U98686
67,59F32773
68,81C63990
69,02O45856
70,89T74007
71,74U41810
72,85N39777
73,82B71682
74,07U72398
75,51F48790
76,78G62158
77,63J29035
78,70A15883
79,59H55267
80,92R04070
81,26J99021
82,22Z22986
83,71N56380
84,39S55649
85,13Z50056
86,94P14737
87,12X66059
88,02O35513
89,52O28296
90,79S41355
91,81A45956
92,38K32634
93,30N75545
94,02W62524
95,93U74822
96,76F47362
97,89H96303
98,92N92595
99,53V21381
100,82F80436
