frame_x,predict
0,41F66033
1,41X86201
2,01P61836
3,58C82114
4,97W21627
5,08O81444
6,51J65813
7,54R39824
8,45D57799
9,13I88575
10,71O31866
11,68V85765
12,58D24132
13,58U88551
14,45D07778
15,51P33470
16,65U51745
17,50D36909
18,17Q19991
19,09V41782
20,85C68458
21,79T05991
22,49O32462
23,20F33066
24,69T31016
25,94N14062
26,32S20842
27,77G08649
28,42K63898
29,69H86270
30,38Y43158
31,55S56161
32,21T11000
33,81Q14034
34,66O47386
35,97G71335
36,35Y68864
37,37G92696
38,20M58929
39,15O47046
40,96H30230
41,49J94054
42,60Z18776
43,49H03088
44,23Z65904
45,33L32882
46,25S84709
47,97U52248
48,52O18193
49,72X99061
50,74V95490
51,67B81189
52,18B62822
53,47K09149
54,71A85815
55,16J11761
56,12Z31045
57,12L23308
58,92K54152
59,34V12230
60,34J67787
61,63B52197
62,52R82969
63,33X51462
64,90W74226
65,86Q41498
66,82D11671
67,66M25292
68,39I01134
69,68W09545
70,98C10454
71,83U08547
72,73Z93983
73,99F42715
74,99R91221
75,06N33023
76,80Z49113
77,10I04361
78,53A74620
79,50U33713
80,55V51185
81,97X23356
82,72U44894
83,89P38642
84,81F48448
85,69X34204
86,42H50399
87,97I24952
88,46J51725
89,70P61513
90,27L74357
91,61Q24212
92,79D77426
93,88F83108
94,02T15968
95,58Q62730
96,59X70347
97,89K78447
98,25V70169
99,72G78815
100,84N87168
