frame_x,predict
0,30I00072
1,88N14510
2,69F37926
3,79Z79584
4,85D09522
5,32C11196
6,23K21552
7,55Q48380
8,77S47168
9,30K52969
10,06F49972
11,01R65160
12,58M35178
13,36F57608
14,06Z40195
15,99I32289
16,49W41139
17,29U58826
18,71A35215
19,50T79852
20,61G33917
21,09D89241
22,01F90692
23,34W16655
24,37N47087
25,21L51054
26,90A43622
27,71H44428
28,18U39163
29,61T87536
30,40D08666
31,82Q43794
32,48U83725
33,37O47029
34,42M73177
35,33C42157
36,41O84088
37,71O80765
38,76B10011
39,43G51973
40,75P21983
41,82R68470
42,56S13960
43,50Y84784
44,48B96762
45,89K00311
46,68K18235
47,89D42886
48,35W49794
49,78S24066
50,28U99076
51,99S81859
52,14I74683
53,82O21289
54,52T54279
55,27H50713
56,53Z74423
57,68O00022
58,32R67694
59,77O63269
60,70L89409
61,10A12071
62,08H80588
63,63G77933
64,96R36226
65,90N96542
66,10C85164
67,13I00413
68,65I83842
69,90J63179
70,53Z89903
71,78P69473
72,31T79401
73,59F21520
74,90X51131
75,00R08141
76,78G83817
77,75L99033
78,49V93370
79,63Z75566
80,66H49241
81,31J80824
82,67D99332
83,24T86493
84,82R98958
85,78Y00678
86,84U11672
87,48P53256
88,45B37780
89,37O60261
90,65B39909
91,98R74120
92,34S44739
93,52I24741
94,64Y99293
95,75T01340
96,03J66539
97,17V99304
98,19A03908
99,19P57754
100,27Y02993
