frame_x,predict
0,30D56154
1,32G41921
2,81T97049
3,56U66742
4,61O63889
5,72I51007
6,82G27010
7,43F58954
8,45N18984
9,31R20208
10,19A63202
11,01K39791
12,94V68742
13,31L29187
14,80N63481
15,22G90362
16,01Z99110
17,47B00704
18,36N06728
19,88Z18653
20,54I02795
21,01K44540
22,32P94491
23,44J22096
24,47X18077
25,78X15415
26,21P71477
27,29Q36600
28,36S19635
29,93U23578
30,34R16422
31,95H20416
32,87R74673
33,03P76613
34,26W17833
35,53W46806
36,04A55448
37,52M31045
38,43L88493
39,09L39739
40,52W97440
41,95B00004
42,58B10212
43,22W84258
44,24K82605
45,05V43333
46,55P96342
47,50M90497
48,65H90060
49,05S93892
50,11V29811
51,03K00023
52,22N27133
53,89H26223
54,93V22238
55,34L92509
56,83P07449
57,94W37202
58,92D45848
59,56M91975
60,03W30440
61,18C41625
62,39O04979
63,61W19146
64,15O57931
65,50H48151
66,60V44519
67,75K57447
68,52A94496
69,85H70557
70,20S60964
71,18D67503
72,39F94225
73,99I87305
74,18G81347
75,10S91708
76,33G95058
77,10N43798
78,85Q77045
79,19H32058
80,97G65980
81,52S72751
82,79F19592
83,01B89896
84,81W34870
85,10C95778
86,50R80484
87,87H89541
88,90D71273
89,74K52459
90,81A44267
91,19W37704
92,10G57828
93,37Q11887
94,22M19588
95,42L12147
96,14J37553
97,39W06331
98,46G20688
99,56O13085
100,16T27408
