frame_x,predict
0,04X94193
1,15T32181
2,79Q57577
3,06U62069
4,88I36521
5,41J26762
6,42D05130
7,57Z80688
8,58P93355
9,12W67046
10,15I36325
11,84Y93607
12,85D87461
13,13I93324
14,05V71069
15,43X22397
16,79J42357
17,19F89513
18,68V06047
19,43A46190
20,59J01483
21,53H13195
22,52L84949
23,69N51754
24,53P06501
25,74Y14780
26,59A45589
27,59Z73956
28,83S32419
29,00H44561
30,05X24465
31,95G49165
32,60Q12936
33,39N28778
34,08V47144
35,52I15574
36,17R41026
37,49D23483
38,31B79514
39,81O27225
40,73V56427
41,03R53006
42,71K85822
43,17W13055
44,85A73737
45,88O21394
46,04C66680
47,47T20518
48,19S26814
49,60B09604
50,53C56668
51,48Y84797
52,41W99826
53,93U32807
54,82P40934
55,47Z52515
56,48I97035
57,58M01972
58,08L35982
59,59M32846
60,02F95518
61,87Q85557
62,94S20780
63,25P52943
64,80D21334
65,24K42323
66,27X33013
67,07J10106
68,70X54587
69,09P31620
70,49G81993
71,10B37237
72,53W38566
73,02D72894
74,09A73012
75,16V44380
76,97U70337
77,53C93876
78,01C27622
79,70N44829
80,50L56555
81,52C74743
82,95M51091
83,96L05345
84,41V29179
85,59H79253
86,65X70087
87,68C09200
88,72S41251
89,99F92378
90,44B07835
91,85Q26064
92,28D10621
93,02A48372
94,25V35445
95,51A23609
96,01O21696
97,93X11504
98,61N16249
99,98O19596
100,02A53502
