frame_x,predict
0,53N63582
1,68R36666
2,63M89869
3,45T11258
4,64Z46713
5,83L66545
6,37G67210
7,62N36698
8,90H79306
9,47L14001
10,31S35728
11,86V88579
12,89Y97285
13,52R57367
14,60X73762
15,70P50454
16,77V98531
17,15O30632
18,94F24005
19,99A06630
20,18W28456
21,38H92881
22,08C46286
23,99P06287
24,09C65940
25,10F16951
26,90I01312
27,26N99064
28,12H66330
29,90M55785
30,45R74925
31,06M01197
32,08M55752
33,05Z19016
34,93C53721
35,93A52293
36,94X92208
37,56D23832
38,78L77188
39,83N66117
40,99B36879
41,42J24194
42,19X92856
43,60Q64523
44,88Y55777
45,43Y02895
46,84B63766
47,16X19998
48,24M81547
49,71G29870
50,49S25261
51,16C38069
52,61T09997
53,75D24588
54,37W97666
55,93K78613
56,51P77208
57,22B33239
58,99I35598
59,71T95460
60,10C97003
61,12S87908
62,36L26487
63,66S06180
64,98U36520
65,40Z86563
66,83H08116
67,59A29513
68,66F23966
69,05Q54140
70,67N60137
71,54B40700
72,63Y11689
73,85O35935
74,84P74646
75,45Z47220
76,36Q83403
77,84T28908
78,84M88495
79,66T99878
80,59K82203
81,16O29702
82,52L99615
83,16L92227
84,58G13879
85,87Q12105
86,05Z06483
87,07I54320
88,85L29323
89,74U42249
90,44C02433
91,47V24377
92,79C62936
93,36X08404
94,96R79763
95,32L88214
96,24Q44865
97,86N77026
98,95H57778
99,27K09753
100,63S61547
