frame_x,predict
0,71Y45713
1,44M78090
2,81T99392
3,62X70137
4,23S93042
5,98K45385
6,11M56963
7,74D90130
8,01Z43221
9,69U17700
10,10K69029
11,41V08493
12,08N55521
13,61L87219
14,52Z76474
15,29A75371
16,62V28600
17,86W00952
18,59J41283
19,27F78327
20,39D91089
21,60K39155
22,32H25800
23,15W86197
24,16L92430
25,56P45122
26,34T56854
27,47Y98276
28,72J84949
29,93J14678
30,30V09830
31,10F56756
32,17Z50402
33,15Y90519
34,13N79967
35,75G07957
36,07P53586
37,84Q78361
38,58C20492
39,45U49941
40,40T52419
41,58B68968
42,06Y79058
43,47F57770
44,68R12674
45,90J43531
46,06Y12781
47,17S86353
48,32F45625
49,82Y04857
50,59S41013
51,25L51690
52,83I46083
53,68B45360
54,99O64436
55,88H75388
56,31G63331
57,47J29311
58,50N74354
59,59M10368
60,54C18817
61,23O45733
62,45Z82860
63,06Y95313
64,26L68319
65,61Y91569
66,91V59934
67,21D17953
68,13M60206
69,04X59424
70,65B80934
71,73J65652
72,06Q48102
73,27I49193
74,78Z04289
75,39L22995
76,80U69030
77,72F84337
78,28N28436
79,31O16093
80,14J99708
81,65T01146
82,89L68140
83,00X14099
84,43I60366
85,59Y48505
86,42H23454
87,37M08973
88,84S86374
89,89R92216
90,69B99748
91,79L17253
92,71T44425
93,80J14542
94,82M09622
95,47D86285
96,53A18330
97,35Z38066
98,59V88228
99,50C83683
100,99P16981
