fram_x,predict
0,2
1,2
2,6
3,8
4,12
5,15
6,13
7,14
8,13
9,9
10,8
11,12
12,6
13,2
14,5
15,6
16,6
17,5
18,4
19,6
20,4
21,5
22,2
23,3
24,4
25,7
26,4
27,4
28,5
29,4
30,5
31,3
32,1
33,4
34,4
35,3
36,4
37,1
38,4
39,2
40,2
41,1
42,0
43,2
44,4
45,7
46,3
47,3
48,6
49,5
50,2
51,6
52,5
53,4
54,4
55,7
56,6
57,4
58,3
59,4
60,7
61,5
62,6
63,4
64,6
65,5
66,3
67,3
68,2
69,0
70,6
71,12
72,12
73,10
74,10
75,13
76,10
77,12
78,12
79,11
80,13
81,8
82,8
83,5
84,6
85,7
86,4
87,5
88,3
89,6
90,7
91,8
92,5
93,10
94,9
95,8
96,12
97,14
98,10
99,8
100,9
101,10
102,8
103,4
104,7
105,7
106,2
107,4
108,1
109,2
110,1
111,1
112,1
113,3
114,7
115,7
116,7
117,7
118,7
119,9
120,9
121,10
122,8
123,8
124,7
125,7
126,6
127,7
128,6
129,3
130,6
131,5
132,4
133,6
134,6
135,4
136,4
137,4
138,3
139,4
140,6
141,10
142,11
143,14
144,12
145,12
146,10
147,10
148,7
149,9
150,8
151,9
152,10
153,12
154,9
155,10
156,7
157,12
158,9
159,9
160,10
161,9
162,6
163,6
164,3
165,5
166,6
167,4
168,3
169,4
170,10
171,9
172,8
173,8
174,5
175,8
176,11
177,7
178,7
