fram_x,predict
0,5
1,4
2,4
3,3
4,2
5,2
6,4
7,4
8,6
9,2
10,5
11,4
12,8
13,5
14,3
15,0
16,5
17,2
18,4
19,3
20,3
21,5
22,6
23,5
24,4
25,4
26,6
27,4
28,4
29,4
30,4
31,3
32,3
33,6
34,3
35,3
36,7
37,4
38,3
39,5
40,4
41,3
42,3
43,4
44,3
45,3
46,3
47,2
48,3
49,2
50,2
51,4
52,4
53,7
54,6
55,5
56,5
57,6
58,7
59,6
60,2
61,5
62,4
63,3
64,4
65,5
66,3
67,4
68,7
69,10
70,8
71,8
72,4
73,5
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,2
87,2
88,1
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,2
97,1
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,2
118,2
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,3
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,3
137,1
138,1
139,1
140,2
141,1
142,2
143,2
144,1
145,3
146,5
147,2
148,5
149,5
150,5
151,4
152,10
153,9
154,6
155,5
156,6
157,8
158,7
159,6
160,9
161,7
162,5
163,6
164,4
165,2
