fram_x,predict
0,9
1,3
2,8
3,7
4,4
5,0
6,6
7,8
8,6
9,3
10,1
11,0
12,1
13,11
14,9
15,8
16,7
17,1
18,1
19,8
20,6
21,4
22,7
23,3
24,0
25,0
26,8
27,6
28,7
29,4
30,1
31,1
32,0
33,3
34,6
35,2
36,2
37,0
38,1
39,11
40,1
41,3
42,6
43,2
44,2
45,3
46,12
47,12
48,3
49,0
50,0
51,1
52,3
53,4
54,2
55,2
56,2
57,1
58,1
59,4
60,7
61,8
62,0
63,2
64,0
65,3
66,4
67,5
68,1
69,1
70,0
71,3
72,10
73,8
74,7
75,7
76,1
77,1
78,1
79,4
80,9
81,4
82,2
83,0
84,0
85,3
86,7
87,6
88,1
89,0
90,0
91,3
92,5
93,7
94,8
95,7
96,4
97,0
98,1
99,2
