fram_x,predict
0,4
1,4
2,5
3,5
4,2
5,1
6,0
7,1
8,3
9,3
10,4
11,2
12,2
13,1
14,1
15,2
16,2
17,1
18,4
19,3
20,1
21,2
22,4
23,5
24,4
25,3
26,3
27,3
28,2
29,3
30,3
31,3
32,3
33,2
34,2
35,1
36,2
37,1
38,2
39,1
40,1
41,1
42,1
43,3
44,2
45,2
46,1
47,2
48,2
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,0
64,1
65,2
66,3
67,4
68,3
69,3
70,1
71,1
72,4
73,3
74,3
75,2
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,2
85,3
86,3
87,3
88,2
89,2
90,0
91,1
92,0
93,1
94,1
95,1
96,3
97,1
98,3
99,3
100,2
101,1
102,0
103,0
104,2
105,1
106,1
107,0
108,0
109,0
110,0
111,1
112,2
113,1
114,3
115,1
116,1
117,2
118,0
119,2
120,2
121,3
122,6
123,6
124,3
125,4
126,4
127,2
128,2
129,2
130,3
131,3
132,3
133,2
134,4
135,1
136,1
137,1
138,2
139,3
140,2
141,2
142,1
143,1
144,1
145,1
146,0
147,1
148,2
149,1
150,2
151,1
152,1
153,0
154,2
155,2
156,1
157,4
158,4
159,5
160,3
161,1
162,1
163,1
164,2
165,1
166,3
167,3
168,2
169,2
170,2
171,4
172,1
173,2
174,2
175,5
176,5
177,4
