fram_x,predict
0,8
1,7
2,6
3,10
4,13
5,10
6,7
7,3
8,4
9,7
10,6
11,8
12,6
13,9
14,9
15,13
16,10
17,14
18,13
19,12
20,15
21,14
22,14
23,13
24,17
25,17
26,17
27,15
28,12
29,10
30,10
31,10
32,10
33,13
34,14
35,13
36,10
37,9
38,8
39,8
40,10
41,8
42,6
43,4
44,4
45,4
46,1
47,5
48,5
49,6
50,9
51,12
52,7
53,7
54,8
55,5
56,4
57,4
58,9
59,6
60,5
61,3
62,4
63,7
64,7
65,8
66,7
67,8
68,12
69,11
70,10
71,12
72,13
73,6
74,9
75,9
76,6
77,8
78,11
79,12
80,15
81,13
82,12
83,14
84,12
85,9
86,14
87,13
88,16
89,19
90,21
91,17
92,11
93,17
94,12
95,12
96,9
97,12
98,9
99,12
100,11
101,12
102,11
103,11
104,12
105,13
106,16
107,12
108,11
109,5
110,4
111,8
112,9
113,4
114,5
115,8
116,8
117,6
118,6
119,4
120,6
121,2
122,7
123,7
124,7
125,9
126,8
127,4
128,8
129,7
130,7
131,9
132,11
133,10
134,5
135,2
136,8
137,7
138,10
139,11
140,13
141,11
142,9
143,9
144,7
145,6
146,2
147,7
148,7
149,6
150,8
151,7
152,7
153,14
