fram_x,predict
0,10
1,10
2,10
3,9
4,10
5,12
6,11
7,9
8,11
9,10
10,9
11,9
12,5
13,4
14,7
15,11
16,11
17,11
18,13
19,13
20,16
21,15
22,11
23,16
24,14
25,16
26,15
27,11
28,6
29,6
30,11
31,12
32,11
33,9
34,11
35,15
36,11
37,12
38,11
39,15
40,16
41,15
42,18
43,15
44,11
45,13
46,16
47,13
48,13
49,12
50,10
51,10
52,11
53,10
54,9
55,7
56,12
57,14
58,13
59,13
60,11
61,11
62,11
63,13
64,14
65,11
66,11
67,11
68,13
69,12
70,8
71,6
72,6
73,9
74,8
75,10
76,7
77,11
78,7
79,8
80,11
81,7
82,9
83,9
84,10
85,10
86,7
87,11
88,11
89,10
90,11
91,13
92,12
93,10
94,16
95,15
96,12
97,9
98,10
99,12
100,11
101,13
102,10
103,11
104,6
105,9
106,16
107,15
108,9
109,11
110,15
111,14
112,10
113,8
114,10
115,6
116,10
117,8
118,10
119,9
120,6
121,9
122,10
123,9
124,10
125,10
126,12
127,8
128,7
129,14
130,16
131,14
132,13
133,8
134,10
135,13
136,12
137,9
138,6
139,12
140,12
141,12
142,10
143,8
144,5
145,14
146,9
147,7
148,6
149,9
150,13
151,11
152,11
153,9
154,10
155,6
156,9
157,7
158,11
159,14
160,8
161,7
162,6
163,5
164,7
165,5
166,4
167,6
168,9
169,8
170,12
171,10
172,8
173,7
174,9
175,9
176,9
177,17
178,12
179,10
180,12
181,13
182,10
183,9
184,10
185,9
186,11
187,10
188,9
189,13
190,13
191,7
192,7
193,8
194,7
195,8
196,8
197,9
198,11
199,13
200,12
201,10
202,7
203,11
204,9
205,7
206,9
207,8
208,7
209,6
210,10
211,15
212,12
213,14
214,12
215,11
216,10
217,10
218,12
219,8
220,10
221,12
222,9
223,14
224,12
225,14
226,11
227,8
228,5
229,10
230,9
231,6
232,6
233,8
234,6
235,4
236,6
237,7
238,4
239,5
240,5
241,5
242,4
243,6
