fram_x,predict
0,1
1,1
2,2
3,1
4,1
5,8
6,6
7,8
8,8
9,7
10,7
11,6
12,3
13,3
14,4
15,1
16,2
17,2
18,2
19,0
20,2
21,5
22,8
23,4
24,8
25,3
26,4
27,3
28,6
29,3
30,2
31,4
32,2
33,4
34,0
35,1
36,4
37,7
38,4
39,2
40,4
41,4
42,5
43,3
44,3
45,1
46,5
47,5
48,1
49,2
50,1
51,3
52,1
53,3
54,4
55,3
56,4
57,4
58,6
59,3
60,2
61,2
62,3
63,3
64,3
65,1
66,2
67,1
68,1
69,5
70,6
71,3
72,1
73,2
74,3
75,2
76,2
77,1
78,3
79,3
80,2
81,1
82,1
83,1
84,1
85,4
86,3
87,4
88,3
89,3
90,3
91,1
92,1
93,2
94,4
95,4
96,2
97,1
98,2
99,2
