fram_x,predict
0,13
1,11
2,9
3,11
4,9
5,9
6,10
7,16
8,17
9,13
10,16
11,15
12,18
13,14
14,15
15,15
16,15
17,15
18,18
19,17
20,15
21,14
22,14
23,17
24,15
25,18
26,14
27,11
28,9
29,10
30,12
31,12
32,15
33,17
34,15
35,14
36,16
37,16
38,15
39,16
40,17
41,15
42,21
43,16
44,14
45,19
46,13
47,14
48,16
49,16
50,18
51,19
52,15
53,16
54,15
55,17
56,16
57,18
58,14
59,14
60,20
61,15
62,21
63,19
64,21
65,19
66,21
67,18
68,19
69,22
70,20
71,18
72,20
73,22
74,18
75,18
76,17
77,17
78,14
79,14
80,13
81,12
82,12
83,15
84,13
85,16
86,11
87,10
88,17
89,16
90,17
91,13
92,15
93,15
94,15
95,14
96,8
97,15
98,13
99,12
100,15
101,13
102,14
103,15
104,17
105,12
106,9
107,11
108,7
109,4
110,10
111,11
112,11
113,14
114,14
115,11
116,10
117,10
118,8
119,9
120,10
121,10
122,5
123,6
124,12
125,10
126,8
127,11
128,17
129,10
130,12
131,11
132,9
133,7
134,11
135,11
136,17
137,15
138,17
139,18
140,20
141,10
142,9
143,12
144,12
145,15
146,9
147,11
148,15
149,16
150,15
151,9
152,10
153,10
154,13
155,12
156,12
157,12
158,11
159,14
160,12
161,12
162,15
163,14
164,11
165,9
166,10
167,14
168,14
169,14
170,13
171,12
172,16
173,16
174,14
175,17
176,15
177,12
178,12
179,16
180,15
181,11
182,14
183,17
184,15
185,18
186,19
187,16
188,16
189,13
190,12
191,13
192,9
193,13
194,15
