fram_x,predict
0,2
1,1
2,1
3,2
4,1
5,2
6,1
7,1
8,1
9,0
10,3
11,1
12,1
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,2
22,7
23,12
24,12
25,14
26,8
27,10
28,10
29,13
30,11
31,12
32,11
33,8
34,7
35,9
36,8
37,9
38,13
39,9
40,3
41,1
42,1
43,1
44,1
45,2
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,2
62,0
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,3
84,1
85,0
86,0
87,0
88,0
89,0
90,2
91,5
92,9
93,3
94,1
95,2
96,2
97,2
98,3
99,3
100,3
101,5
102,5
103,4
104,5
105,5
106,3
107,2
108,0
109,3
110,4
111,1
112,2
113,3
114,1
115,2
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,2
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,2
142,1
143,2
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,2
163,3
164,8
165,5
166,5
167,6
168,6
169,4
170,3
171,5
172,4
173,2
174,3
175,4
176,4
177,3
178,2
179,3
180,3
181,2
182,2
