fram_x,predict
0,6
1,2
2,4
3,3
4,3
5,2
6,5
7,1
8,2
9,4
10,6
11,8
12,3
13,2
14,0
15,3
16,1
17,2
18,0
19,2
20,6
21,5
22,5
23,5
24,1
25,0
26,0
27,1
28,1
29,3
30,3
31,4
32,0
33,1
34,1
35,2
36,0
37,1
38,4
39,5
40,5
41,3
42,4
43,3
44,2
45,1
46,3
47,4
48,4
49,6
50,3
51,2
52,1
53,1
54,2
55,3
56,6
57,5
58,1
59,0
60,1
61,4
62,9
63,6
64,3
65,1
66,1
67,0
68,4
69,2
70,4
71,4
72,6
73,6
74,5
75,2
76,1
77,3
78,2
79,3
80,1
81,0
82,5
83,3
84,3
85,2
86,1
87,3
88,3
89,2
90,3
91,5
92,6
93,2
94,2
95,2
96,3
97,1
98,3
99,3
