frame_x,predict
0,aaF12391
1,aaV46846
2,aaF89433
3,a3B49487
4,a1D91442
5,aaA37518
6,aaD76059
7,aaV10179
8,a3B19868
9,aaO71265
10,aaN61380
11,a7O59788
12,aaT01965
13,a0P21242
14,a4Z78560
15,a3L50821
16,a8X70433
17,a2B03633
18,aaU85619
19,a6S30707
20,a0Q99896
21,aaK01818
22,a1V76403
23,a2A67646
24,aaY17606
25,a0R72482
26,a6L95260
27,a6X99085
28,a1M48638
29,aaQ65726
30,aaQ67129
31,a5A73717
32,aaI92343
33,a8B05051
34,a1X22076
35,aaO90333
36,a7N81039
37,a2S89436
38,aaH66774
39,a9F31912
40,a0U44252
41,a7R53809
42,a1Y00185
43,a1Y56165
44,a5P17430
45,a0I32074
46,aaW50488
47,aaU27619
48,aaD44313
49,a7F79336
50,a1Q99740
51,a7T27494
52,a0K43759
53,a4Y53508
54,aaI23017
55,a9G18860
56,aaS16120
57,a3K73844
58,a8Z68612
59,aaM74273
60,aaN72525
61,aaW88488
62,a8F60951
63,a9D61470
64,a2T30673
65,a0T23654
66,a0F49801
67,aaB02180
68,aaX18986
69,aaY88569
70,a0B13341
71,a6G44469
72,aaA15622
73,a6H33402
74,a5B11931
75,aaC11872
76,a6V60894
77,a7Y11449
78,a3Q84956
79,a1D41748
80,a5S13349
81,aaX07513
82,a3J14993
83,aaD94882
84,a8Y92136
85,aaY52939
86,aaB88530
87,aaT88758
88,aaV34722
89,a9D92430
90,a3L51181
91,a2M17436
92,aaH59994
93,aaL94035
94,a6B36790
95,a7O54163
96,a8Y72095
97,a3T67313
98,a7T52010
99,aaA94295
100,a4F85449
